acc,loss,val_acc,val_loss
0.7142857313156128,0.5306427478790283,0.744966447353363,0.6378837823867798
0.7129750847816467,0.520699143409729,0.5033556818962097,0.7841489911079407
0.744429886341095,0.5177480578422546,0.6577181220054626,0.7349910140037537
0.7404980063438416,0.5087432861328125,0.7248322367668152,0.6757665276527405
0.7418086528778076,0.5011935830116272,0.718120813369751,0.6519300937652588
0.7365661859512329,0.5115702152252197,0.6711409687995911,0.6909369230270386
0.7640891075134277,0.49428489804267883,0.6308724880218506,0.7181006073951721
0.7470511198043823,0.4984493553638458,0.6510066986083984,0.7185240983963013
0.7536041736602783,0.48906210064888,0.6442952752113342,0.7145455479621887
0.7575360536575317,0.48716095089912415,0.6442952752113342,0.7109553217887878
0.7549148201942444,0.48295503854751587,0.7046979665756226,0.6854828596115112
0.7693315744400024,0.47411125898361206,0.7516778707504272,0.6547785997390747
0.7706422209739685,0.48162031173706055,0.8389261960983276,0.6193476319313049
0.7627785205841064,0.4618286192417145,0.7114093899726868,0.6892134547233582
0.7536041736602783,0.465981662273407,0.7315436005592346,0.6652332544326782
0.7601572871208191,0.4658263027667999,0.7785235047340393,0.6686999201774597
0.758846640586853,0.46598100662231445,0.8120805621147156,0.6383200883865356
0.7850589752197266,0.4477640986442566,0.791946291923523,0.6506901383399963
0.7601572871208191,0.45725134015083313,0.5906040072441101,0.7608329653739929
0.7876802086830139,0.4442294239997864,0.6912751793861389,0.6824015378952026
0.7824377417564392,0.4554117023944855,0.9194630980491638,0.5783072113990784
0.78899085521698,0.4380520284175873,0.7046979665756226,0.6903010010719299
0.7903014421463013,0.42850348353385925,0.8255033493041992,0.6295466423034668
0.8073394298553467,0.4247441589832306,0.7785235047340393,0.6576495170593262
0.795543909072876,0.4225882291793823,0.7718120813369751,0.6383289694786072
0.809960663318634,0.40858352184295654,0.744966447353363,0.6593757271766663
0.7942332625389099,0.4075769782066345,0.744966447353363,0.6569104194641113
0.809960663318634,0.40617501735687256,0.6577181220054626,0.7317054867744446
0.795543909072876,0.4013679027557373,0.7651006579399109,0.6426171064376831
0.8204455971717834,0.387152761220932,0.718120813369751,0.7137869596481323
0.8112713098526001,0.397498220205307,0.7718120813369751,0.6768839359283447
0.8230668306350708,0.3850563168525696,0.5973154306411743,0.7870681285858154
0.7942332625389099,0.4065592288970947,0.818791925907135,0.6465288996696472
0.8309305310249329,0.36671626567840576,0.8859060406684875,0.6038819551467896
0.8335517644882202,0.375169038772583,0.8120805621147156,0.6508158445358276
0.8414154648780823,0.38083356618881226,0.9127516746520996,0.5859557390213013
0.8453472852706909,0.3659004867076874,0.8859060406684875,0.5987822413444519
0.8283092975616455,0.37589237093925476,0.7382550239562988,0.6677930355072021
0.8348624110221863,0.3667888045310974,0.8389261960983276,0.6443648338317871
0.8296199440956116,0.36442649364471436,0.8322147727012634,0.6457149982452393
0.8296199440956116,0.3662671744823456,0.9127516746520996,0.5787235498428345
0.846657931804657,0.34756526350975037,0.926174521446228,0.5485284328460693
0.8453472852706909,0.35175275802612305,0.7583892345428467,0.6867884993553162
